,Even,if,it,ends,up,helping,Facebook's,public,image,there,are,other,risks
0,Even,if,it,ends,up,having,Facebook,public,image,-,-,-,-
1,Even,if,it,ends,up,helping,Facebook,public,Enemy,-,-,-,-
2,Even,if,it,ends,up,helping,Facebook,public,Ma,-,-,-,-
3,Even,if,it,ends,up,helping,Facebook,image,-,-,-,-,-
4,Even,if,it,ends,up,helping,Facebook,public,image,there,are,other,risks
5,Even,if,it,ends,up,helping,Facebook,public,-,-,-,-,-
6,Even,if,it's,helping,Facebook,Public,Image,there,are,other,ways,-,-
7,Even,if,it,ends,up,helping,Facebook,public,image,there,are,other,wrecks
8,stop,helping,Facebook,Public,Image,that,are,a,Teryx,-,-,-,-
